ID_cliente;genero;escolaridade;idade;estado_civil;id_estado;sigla;estado;regiao;pais;tipo_transacao_mais_frequente;tolerancia_risco;valor_investido;valor_investido_acoes;valor_investido_fii;valor_investido_dolar;valor_investido_renda_fixa;perfil
25;Feminino;Ensino Médio;48.0;Divorciado;27;TO;Tocantins;Norte;Brasil;Transferências;Moderado;490291;373634;51429;49499;15729;Arrojado
26;Masculino;Pós-graduação;32.0;Divorciado;25;SP;São Paulo;Sudeste;Brasil;Pagamentos;Baixa;894255;492594;50555;39537;311569;Conservador
27;Feminino;Graduação;61.0;Divorciado;25;SP;São Paulo;Sudeste;Brasil;Transferências;Alta;928287;121817;786115;14993;5362;Arrojado
28;Masculino;Pós-graduação;35.0;Solteiro;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Moderado;968762;519221;54354;284616;110571;Moderado
29;Feminino;Pós-graduação;55.0;Solteiro;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Alta;171943;139781;13486;13518;5158;Arrojado
30;Masculino;Pós-graduação;28.0;Divorciado;27;TO;Tocantins;Norte;Brasil;Investimentos;Moderado;826146;731638;13474;62502;18532;Arrojado
31;Feminino;Graduação;55.0;Solteiro;2;AL;Alagoas;Nordeste;Brasil;Pagamentos;Alta;703479;608750;62566;22801;9362;Arrojado
32;Masculino;Pós-graduação;55.0;Divorciado;27;TO;Tocantins;Norte;Brasil;Pagamentos;Alta;427858;37867;387270;1077;1644;Arrojado
33;Masculino;Ensino Médio;50.0;Divorciado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Transferências;Alta;393511;294265;3909;64047;31290;Arrojado
34;Masculino;Pós-graduação;52.0;Divorciado;19;RJ;Rio de Janeiro;Sudeste;Brasil;Pagamentos;Baixa;743173;23097;138965;30206;550905;Conservador
35;Feminino;Ensino Médio;32.0;Divorciado;4;AM;Amazonas;Norte;Brasil;Transferências;Moderado;884798;316502;216477;291782;60037;Moderado
36;Masculino;Graduação;56.0;Viúvo;14;PA;Pará;Norte;Brasil;Pagamentos;Alta;949360;865893;4694;2067;76706;Arrojado
37;Masculino;Graduação;67.0;Casado;6;CE;Ceará;Nordeste;Brasil;Transferências;Alta;207105;149706;26563;13410;17426;Arrojado
38;Feminino;Pós-graduação;66.0;Solteiro;4;AM;Amazonas;Norte;Brasil;Investimentos;Alta;886491;803395;29834;8538;44724;Arrojado
39;Feminino;Pós-graduação;59.0;Viúvo;9;GO;Goiás;Centro-Oeste;Brasil;Investimentos;Moderado;540050;271551;34306;21963;212230;Conservador
40;Feminino;Graduação;36.0;Viúvo;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Alta;767310;651696;63640;38179;13795;Arrojado
41;Feminino;Graduação;38.0;Viúvo;16;PR;Paraná;Sul;Brasil;Transferências;Alta;386494;265719;119805;571;399;Arrojado
42;Feminino;Ensino Médio;54.0;Viúvo;20;RN;Rio Grande do Norte;Nordeste;Brasil;Transferências;Alta;200250;25192;19766;137539;17753;Arrojado
43;Masculino;Pós-graduação;61.0;Divorciado;8;ES;Espírito Santo;Sudeste;Brasil;Transferências;Baixa;333572;101594;193241;24187;14550;Conservador
44;Masculino;Ensino Médio;34.0;Viúvo;2;AL;Alagoas;Nordeste;Brasil;Pagamentos;Alta;895469;843678;50076;370;1345;Arrojado
45;Feminino;Pós-graduação;57.0;Viúvo;26;SE;Sergipe;Nordeste;Brasil;Pagamentos;Alta;887226;603345;174430;6296;103155;Arrojado
46;Feminino;Graduação;30.0;Viúvo;8;ES;Espírito Santo;Sudeste;Brasil;Pagamentos;Alta;407326;405004;485;950;887;Arrojado
47;Masculino;Pós-graduação;27.0;Solteiro;16;PR;Paraná;Sul;Brasil;Transferências;Alta;724228;437694;188147;14596;83791;Arrojado
48;Feminino;Ensino Médio;29.0;Solteiro;27;TO;Tocantins;Norte;Brasil;Investimentos;Baixa;634419;220634;178608;19832;215345;Conservador
49;Feminino;Ensino Médio;66.0;Divorciado;17;PE;Pernambuco;Nordeste;Brasil;Investimentos;Alta;397282;125776;250723;381;20402;Arrojado
50;Masculino;Graduação;66.0;Viúvo;14;PA;Pará;Norte;Brasil;Investimentos;Alta;558242;513173;37195;766;7108;Arrojado
51;Feminino;Ensino Médio;49.0;Solteiro;23;RR;Roraima;Norte;Brasil;Transferências;Baixa;540013;42873;320788;151472;24880;Conservador
52;Feminino;Ensino Médio;37.0;Viúvo;22;RO;Rondônia;Norte;Brasil;Transferências;Moderado;802784;642845;68639;12839;78461;Arrojado
53;Feminino;Graduação;38.0;Viúvo;5;BA;Bahia;Nordeste;Brasil;Investimentos;Moderado;669540;447337;168410;24200;29593;Arrojado
54;Feminino;Ensino Médio;54.0;Divorciado;21;RS;Rio Grande do Sul;Sul;Brasil;Investimentos;Alta;270614;256893;4552;3439;5730;Arrojado
55;Feminino;Graduação;50.0;Divorciado;23;RR;Roraima;Norte;Brasil;Investimentos;Alta;248507;178149;61570;4412;4376;Arrojado
56;Feminino;Ensino Médio;62.0;Divorciado;25;SP;São Paulo;Sudeste;Brasil;Transferências;Baixa;785753;159788;347402;39236;239327;Conservador
57;Feminino;Pós-graduação;29.0;Divorciado;4;AM;Amazonas;Norte;Brasil;Pagamentos;Baixa;641619;29412;216614;280688;114905;Conservador
58;Feminino;Ensino Médio;20.0;Casado;9;GO;Goiás;Centro-Oeste;Brasil;Transferências;Baixa;516796;115736;231834;65834;103392;Conservador
59;Feminino;Pós-graduação;62.0;Solteiro;18;PI;Piauí;Nordeste;Brasil;Pagamentos;Moderado;678031;295682;54655;187009;140685;Moderado
60;Feminino;Pós-graduação;44.0;Divorciado;15;PB;Paraíba;Nordeste;Brasil;Investimentos;Alta;861971;558827;158756;92337;52051;Arrojado
61;Masculino;Ensino Médio;49.0;Divorciado;17;PE;Pernambuco;Nordeste;Brasil;Investimentos;Baixa;777732;17480;390657;152;369443;Conservador
62;Feminino;Ensino Médio;29.0;Casado;24;SC;Santa Catarina;Sul;Brasil;Investimentos;Moderado;806986;405679;62117;33866;305324;Conservador
63;Masculino;Ensino Médio;59.0;Divorciado;23;RR;Roraima;Norte;Brasil;Pagamentos;Alta;289389;283736;2926;2081;646;Arrojado
64;Feminino;Pós-graduação;54.0;Viúvo;25;SP;São Paulo;Sudeste;Brasil;Pagamentos;Alta;784481;706507;19734;33173;25067;Arrojado
65;Masculino;Graduação;56.0;Casado;21;RS;Rio Grande do Sul;Sul;Brasil;Transferências;Baixa;257993;85182;16266;58932;97613;Conservador
66;Feminino;Pós-graduação;38.0;Divorciado;3;AP;Amapá;Norte;Brasil;Pagamentos;Alta;842209;154159;666601;395;21054;Arrojado
67;Masculino;Ensino Médio;65.0;Viúvo;1;AC;Acre;Norte;Brasil;Investimentos;Alta;910351;582847;234916;46138;46450;Arrojado
68;Feminino;Pós-graduação;30.0;Divorciado;27;TO;Tocantins;Norte;Brasil;Investimentos;Alta;370514;236938;63843;17594;52139;Arrojado
69;Feminino;Pós-graduação;62.0;Divorciado;24;SC;Santa Catarina;Sul;Brasil;Transferências;Moderado;914414;372410;321363;192349;28292;Moderado
70;Feminino;Graduação;47.0;Solteiro;4;AM;Amazonas;Norte;Brasil;Pagamentos;Moderado;225986;74546;97407;39067;14966;Moderado
71;Feminino;Ensino Médio;43.0;Divorciado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Alta;345699;5837;266375;61001;12486;Arrojado
72;Masculino;Graduação;58.0;Viúvo;9;GO;Goiás;Centro-Oeste;Brasil;Pagamentos;Moderado;561658;229029;59052;164086;109491;Moderado
73;Masculino;Graduação;68.0;Casado;7;DF;Distrito Federal;Centro-Oeste;Brasil;Transferências;Baixa;43175;7484;2142;18630;14919;Conservador
74;Masculino;Graduação;48.0;Casado;18;PI;Piauí;Nordeste;Brasil;Transferências;Alta;673641;613872;31894;23306;4569;Arrojado
75;Feminino;Pós-graduação;32.0;Casado;26;SE;Sergipe;Nordeste;Brasil;Pagamentos;Moderado;500899;105158;89545;279765;26431;Moderado
76;Masculino;Pós-graduação;33.0;Solteiro;4;AM;Amazonas;Norte;Brasil;Transferências;Alta;200544;162870;29189;5547;2938;Arrojado
77;Feminino;Pós-graduação;33.0;Divorciado;19;RJ;Rio de Janeiro;Sudeste;Brasil;Transferências;Alta;682207;585862;68785;17592;9968;Arrojado
78;Feminino;Ensino Médio;18.0;Divorciado;4;AM;Amazonas;Norte;Brasil;Transferências;Alta;606329;82290;486530;21198;16311;Arrojado
79;Feminino;Graduação;20.0;Viúvo;6;CE;Ceará;Nordeste;Brasil;Pagamentos;Moderado;194629;170183;7102;6776;10568;Arrojado
80;Masculino;Ensino Médio;68.0;Casado;15;PB;Paraíba;Nordeste;Brasil;Investimentos;Alta;712050;623843;29523;31208;27476;Arrojado
81;Feminino;Ensino Médio;40.0;Viúvo;26;SE;Sergipe;Nordeste;Brasil;Pagamentos;Baixa;952574;220214;236891;154442;341027;Conservador
82;Feminino;Ensino Médio;30.0;Divorciado;13;MG;Minas Gerais;Sudeste;Brasil;Investimentos;Alta;431257;313295;79352;25019;13591;Arrojado
83;Feminino;Pós-graduação;62.0;Divorciado;16;PR;Paraná;Sul;Brasil;Transferências;Moderado;154332;54382;97804;693;1453;Arrojado
84;Feminino;Pós-graduação;44.0;Solteiro;17;PE;Pernambuco;Nordeste;Brasil;Pagamentos;Baixa;356766;47356;91292;116841;101277;Conservador
85;Masculino;Ensino Médio;32.0;Divorciado;23;RR;Roraima;Norte;Brasil;Pagamentos;Baixa;795833;33507;334926;37610;389790;Conservador
86;Feminino;Graduação;68.0;Viúvo;15;PB;Paraíba;Nordeste;Brasil;Pagamentos;Baixa;373695;119809;103802;24551;125533;Conservador
87;Masculino;Pós-graduação;25.0;Casado;22;RO;Rondônia;Norte;Brasil;Transferências;Moderado;464342;94202;137006;222833;10301;Moderado
88;Masculino;Pós-graduação;68.0;Casado;2;AL;Alagoas;Nordeste;Brasil;Investimentos;Moderado;605598;74823;32878;326429;171468;Moderado
89;Feminino;Ensino Médio;36.0;Solteiro;24;SC;Santa Catarina;Sul;Brasil;Transferências;Alta;39494;10243;3020;24794;1437;Arrojado
90;Feminino;Graduação;59.0;Solteiro;18;PI;Piauí;Nordeste;Brasil;Investimentos;Baixa;104188;30389;5718;10315;57766;Conservador
91;Feminino;Graduação;44.0;Viúvo;2;AL;Alagoas;Nordeste;Brasil;Pagamentos;Moderado;573897;399176;68185;34264;72272;Arrojado
92;Feminino;Pós-graduação;38.0;Divorciado;22;RO;Rondônia;Norte;Brasil;Investimentos;Baixa;447072;31056;199035;20938;196043;Conservador
93;Feminino;Pós-graduação;18.0;Divorciado;25;SP;São Paulo;Sudeste;Brasil;Transferências;Moderado;912472;386301;230677;193813;101681;Moderado
94;Masculino;Pós-graduação;46.0;Viúvo;20;RN;Rio Grande do Norte;Nordeste;Brasil;Pagamentos;Alta;405236;18587;305193;79248;2208;Arrojado
95;Masculino;Graduação;70.0;Solteiro;6;CE;Ceará;Nordeste;Brasil;Investimentos;Moderado;331093;260909;21945;26201;22038;Arrojado
96;Feminino;Ensino Médio;70.0;Casado;2;AL;Alagoas;Nordeste;Brasil;Pagamentos;Moderado;558243;445485;106867;2911;2980;Arrojado
97;Feminino;Ensino Médio;22.0;Solteiro;17;PE;Pernambuco;Nordeste;Brasil;Investimentos;Moderado;924855;2870;603891;193334;124760;Arrojado
98;Feminino;Graduação;53.0;Solteiro;25;SP;São Paulo;Sudeste;Brasil;Transferências;Moderado;698673;84576;426828;117505;69764;Arrojado
99;Masculino;Graduação;66.0;Solteiro;4;AM;Amazonas;Norte;Brasil;Pagamentos;Moderado;579257;231578;116684;183102;47893;Moderado
100;Masculino;Pós-graduação;20.0;Solteiro;25;SP;São Paulo;Sudeste;Brasil;Investimentos;Alta;800824;545022;47676;159625;48501;Arrojado
101;Feminino;Ensino Médio;51.0;Divorciado;9;GO;Goiás;Centro-Oeste;Brasil;Pagamentos;Moderado;610859;489507;73668;1403;46281;Arrojado
102;Feminino;Graduação;20.0;Viúvo;5;BA;Bahia;Nordeste;Brasil;Transferências;Alta;526461;102067;355305;11526;57563;Arrojado
103;Feminino;Graduação;63.0;Divorciado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Alta;32006;24775;2535;1687;3009;Arrojado
104;Feminino;Ensino Médio;23.0;Viúvo;1;AC;Acre;Norte;Brasil;Transferências;Moderado;852965;179626;66164;508818;98357;Moderado
105;Feminino;Graduação;38.0;Viúvo;22;RO;Rondônia;Norte;Brasil;Investimentos;Moderado;77165;40689;20921;3932;11623;Moderado
106;Masculino;Graduação;32.0;Divorciado;18;PI;Piauí;Nordeste;Brasil;Pagamentos;Moderado;379913;10413;30474;130427;208599;Conservador
107;Feminino;Graduação;31.0;Casado;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Alta;707691;520537;92238;52599;42317;Arrojado
108;Masculino;Graduação;65.0;Casado;6;CE;Ceará;Nordeste;Brasil;Pagamentos;Moderado;958426;399377;371320;113331;74398;Moderado
109;Feminino;Graduação;49.0;Casado;6;CE;Ceará;Nordeste;Brasil;Investimentos;Alta;947196;825558;34780;22446;64412;Arrojado
110;Masculino;Ensino Médio;29.0;Solteiro;27;TO;Tocantins;Norte;Brasil;Transferências;Alta;430525;368365;8379;38686;15095;Arrojado
111;Feminino;Graduação;38.0;Solteiro;4;AM;Amazonas;Norte;Brasil;Transferências;Moderado;625298;621876;433;2679;310;Arrojado
112;Feminino;Graduação;44.0;Solteiro;2;AL;Alagoas;Nordeste;Brasil;Investimentos;Moderado;642938;294067;290994;44222;13655;Moderado
113;Feminino;Graduação;49.0;Solteiro;24;SC;Santa Catarina;Sul;Brasil;Transferências;Moderado;279946;145557;34112;53732;46545;Moderado
114;Masculino;Graduação;37.0;Solteiro;6;CE;Ceará;Nordeste;Brasil;Investimentos;Baixa;864174;286317;228706;89881;259270;Conservador
115;Feminino;Ensino Médio;29.0;Viúvo;5;BA;Bahia;Nordeste;Brasil;Transferências;Moderado;111231;3267;45311;56324;6329;Moderado
116;Feminino;Ensino Médio;31.0;Casado;22;RO;Rondônia;Norte;Brasil;Transferências;Moderado;890611;678328;64297;1230;146756;Arrojado
117;Feminino;Pós-graduação;59.0;Viúvo;6;CE;Ceará;Nordeste;Brasil;Investimentos;Alta;94309;62591;19132;7546;5040;Arrojado
118;Masculino;Ensino Médio;44.0;Solteiro;3;AP;Amapá;Norte;Brasil;Investimentos;Moderado;501768;462823;9319;21524;8102;Arrojado
119;Masculino;Ensino Médio;70.0;Divorciado;27;TO;Tocantins;Norte;Brasil;Transferências;Alta;75577;74446;323;164;644;Arrojado
120;Masculino;Graduação;38.0;Divorciado;25;SP;São Paulo;Sudeste;Brasil;Investimentos;Baixa;71122;9104;3169;5602;53247;Conservador
121;Feminino;Pós-graduação;18.0;Casado;26;SE;Sergipe;Nordeste;Brasil;Investimentos;Moderado;726615;5061;36063;477442;208049;Arrojado
122;Feminino;Ensino Médio;20.0;Casado;21;RS;Rio Grande do Sul;Sul;Brasil;Pagamentos;Moderado;898912;457407;217009;137040;87456;Moderado
123;Feminino;Pós-graduação;28.0;Divorciado;15;PB;Paraíba;Nordeste;Brasil;Pagamentos;Alta;519507;483287;2037;25695;8488;Arrojado
124;Feminino;Pós-graduação;39.0;Viúvo;19;RJ;Rio de Janeiro;Sudeste;Brasil;Pagamentos;Baixa;604811;204196;236148;13837;150630;Conservador
125;Feminino;Ensino Médio;34.0;Solteiro;10;MA;Maranhão;Nordeste;Brasil;Pagamentos;Moderado;230462;26363;41852;133993;28254;Moderado
126;Masculino;Graduação;43.0;Solteiro;19;RJ;Rio de Janeiro;Sudeste;Brasil;Investimentos;Moderado;87147;26241;21814;23992;15100;Moderado
127;Masculino;Graduação;47.0;Casado;26;SE;Sergipe;Nordeste;Brasil;Transferências;Moderado;387518;128637;79154;162459;17268;Moderado
128;Masculino;Pós-graduação;28.0;Casado;1;AC;Acre;Norte;Brasil;Investimentos;Moderado;885097;445730;236548;185587;17232;Moderado
129;Feminino;Graduação;66.0;Divorciado;11;MT;Mato Grosso;Centro-Oeste;Brasil;Pagamentos;Alta;847579;52491;736527;57240;1321;Arrojado
130;Masculino;Graduação;46.0;Viúvo;18;PI;Piauí;Nordeste;Brasil;Investimentos;Alta;671897;619682;42050;9033;1132;Arrojado
131;Feminino;Pós-graduação;51.0;Solteiro;23;RR;Roraima;Norte;Brasil;Investimentos;Moderado;316723;173763;127157;5796;10007;Moderado
132;Masculino;Graduação;58.0;Viúvo;21;RS;Rio Grande do Sul;Sul;Brasil;Investimentos;Baixa;760204;269877;404652;67626;18049;Conservador
133;Masculino;Ensino Médio;50.0;Solteiro;4;AM;Amazonas;Norte;Brasil;Pagamentos;Moderado;526364;472321;42658;9982;1403;Arrojado
134;Feminino;Ensino Médio;31.0;Viúvo;11;MT;Mato Grosso;Centro-Oeste;Brasil;Investimentos;Baixa;862544;93782;67253;71619;629890;Conservador
135;Masculino;Graduação;31.0;Casado;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Moderado;1287;68;852;121;246;Arrojado
136;Feminino;Pós-graduação;24.0;Solteiro;7;DF;Distrito Federal;Centro-Oeste;Brasil;Investimentos;Moderado;721682;470629;183467;3969;63617;Arrojado
137;Feminino;Graduação;67.0;Viúvo;20;RN;Rio Grande do Norte;Nordeste;Brasil;Pagamentos;Alta;505880;363744;108070;636;33430;Arrojado
138;Masculino;Graduação;70.0;Viúvo;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Alta;334243;226338;41655;46924;19326;Arrojado
139;Masculino;Graduação;45.0;Casado;24;SC;Santa Catarina;Sul;Brasil;Transferências;Moderado;480125;215326;155751;48337;60711;Moderado
140;Feminino;Graduação;59.0;Viúvo;4;AM;Amazonas;Norte;Brasil;Transferências;Moderado;814603;446620;315;197647;170021;Moderado
141;Masculino;Ensino Médio;23.0;Viúvo;18;PI;Piauí;Nordeste;Brasil;Investimentos;Alta;729108;575247;132437;5682;15742;Arrojado
142;Feminino;Pós-graduação;65.0;Casado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Investimentos;Alta;785098;488101;195481;3961;97555;Arrojado
143;Feminino;Graduação;63.0;Divorciado;26;SE;Sergipe;Nordeste;Brasil;Investimentos;Alta;19849;13690;2833;2873;453;Arrojado
144;Feminino;Pós-graduação;43.0;Divorciado;16;PR;Paraná;Sul;Brasil;Pagamentos;Alta;277890;44597;189028;5660;38605;Arrojado
145;Feminino;Pós-graduação;23.0;Divorciado;6;CE;Ceará;Nordeste;Brasil;Transferências;Moderado;883364;154302;177229;426056;125777;Moderado
146;Masculino;Ensino Médio;21.0;Divorciado;9;GO;Goiás;Centro-Oeste;Brasil;Transferências;Alta;511689;376927;35969;35952;62841;Arrojado
147;Feminino;Ensino Médio;34.0;Solteiro;27;TO;Tocantins;Norte;Brasil;Transferências;Alta;852847;693396;126334;29030;4087;Arrojado
148;Masculino;Ensino Médio;20.0;Viúvo;5;BA;Bahia;Nordeste;Brasil;Pagamentos;Moderado;654601;175702;246513;160972;71414;Moderado
149;Feminino;Graduação;34.0;Divorciado;11;MT;Mato Grosso;Centro-Oeste;Brasil;Transferências;Moderado;54713;23208;208;27923;3374;Moderado
150;Feminino;Pós-graduação;57.0;Viúvo;23;RR;Roraima;Norte;Brasil;Investimentos;Baixa;608144;73875;335628;144930;53711;Conservador
151;Masculino;Ensino Médio;56.0;Casado;23;RR;Roraima;Norte;Brasil;Transferências;Alta;592783;497469;80065;1219;14030;Arrojado
152;Masculino;Ensino Médio;44.59342915811088;Viúvo;4;AM;Amazonas;Norte;Brasil;Pagamentos;Moderado;857528;284310;95607;316451;161160;Moderado
153;Feminino;Pós-graduação;29.0;Viúvo;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Moderado;703619;388160;166749;57701;91009;Moderado
154;Feminino;Pós-graduação;40.0;Divorciado;24;SC;Santa Catarina;Sul;Brasil;Transferências;Alta;203805;155891;7073;27163;13678;Arrojado
155;Feminino;Graduação;48.0;Solteiro;21;RS;Rio Grande do Sul;Sul;Brasil;Transferências;Alta;211676;199984;4065;1680;5947;Arrojado
156;Masculino;Pós-graduação;38.0;Divorciado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Alta;812408;555039;148260;72316;36793;Arrojado
157;Feminino;Graduação;70.0;Solteiro;19;RJ;Rio de Janeiro;Sudeste;Brasil;Transferências;Moderado;661135;296698;132917;48660;182860;Moderado
158;Feminino;Ensino Médio;25.0;Viúvo;22;RO;Rondônia;Norte;Brasil;Pagamentos;Baixa;541641;251406;279629;9890;716;Conservador
159;Feminino;Pós-graduação;22.0;Casado;16;PR;Paraná;Sul;Brasil;Investimentos;Moderado;787858;397717;253551;98053;38537;Moderado
160;Masculino;Pós-graduação;45.0;Divorciado;17;PE;Pernambuco;Nordeste;Brasil;Transferências;Baixa;421689;131039;221787;68618;245;Conservador
161;Feminino;Ensino Médio;53.0;Divorciado;15;PB;Paraíba;Nordeste;Brasil;Transferências;Moderado;609363;260609;213810;56231;78713;Moderado
162;Feminino;Pós-graduação;26.0;Casado;9;GO;Goiás;Centro-Oeste;Brasil;Investimentos;Alta;843916;178044;587118;29553;49201;Arrojado
163;Masculino;Pós-graduação;18.0;Viúvo;19;RJ;Rio de Janeiro;Sudeste;Brasil;Pagamentos;Moderado;398002;173339;162248;40005;22410;Moderado
164;Masculino;Graduação;63.0;Casado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Moderado;983932;245757;205384;368669;164122;Moderado
165;Masculino;Graduação;65.0;Casado;19;RJ;Rio de Janeiro;Sudeste;Brasil;Investimentos;Alta;941112;64894;838128;17359;20731;Arrojado
166;Feminino;Ensino Médio;65.0;Solteiro;21;RS;Rio Grande do Sul;Sul;Brasil;Investimentos;Alta;791745;516044;202084;12567;61050;Arrojado
167;Feminino;Ensino Médio;43.0;Casado;12;MS;Mato Grosso do Sul;Centro-Oeste;Brasil;Pagamentos;Moderado;340476;239403;63343;33004;4726;Arrojado
168;Feminino;Ensino Médio;68.0;Viúvo;16;PR;Paraná;Sul;Brasil;Pagamentos;Moderado;695860;198450;145204;321848;30358;Moderado
169;Masculino;Ensino Médio;69.0;Viúvo;9;GO;Goiás;Centro-Oeste;Brasil;Pagamentos;Baixa;202389;40116;116696;13689;31888;Conservador
170;Masculino;Ensino Médio;62.0;Casado;8;ES;Espírito Santo;Sudeste;Brasil;Investimentos;Alta;394283;268054;107162;15437;3630;Arrojado
171;Masculino;Pós-graduação;57.0;Viúvo;26;SE;Sergipe;Nordeste;Brasil;Transferências;Alta;12360;1489;10238;221;412;Arrojado
172;Masculino;Graduação;32.0;Divorciado;16;PR;Paraná;Sul;Brasil;Transferências;Alta;132677;83945;24021;14297;10414;Arrojado
173;Masculino;Ensino Médio;40.0;Divorciado;2;AL;Alagoas;Nordeste;Brasil;Transferências;Alta;863575;89957;566456;64465;142697;Arrojado
174;Feminino;Graduação;65.0;Casado;9;GO;Goiás;Centro-Oeste;Brasil;Transferências;Moderado;108671;61138;25726;14588;7219;Moderado
175;Feminino;Pós-graduação;46.0;Casado;3;AP;Amapá;Norte;Brasil;Transferências;Alta;215524;156616;54731;2020;2157;Arrojado
176;Masculino;Pós-graduação;41.0;Solteiro;14;PA;Pará;Norte;Brasil;Investimentos;Moderado;623668;140361;150471;197903;134933;Moderado
177;Masculino;Graduação;41.0;Casado;23;RR;Roraima;Norte;Brasil;Transferências;Alta;656656;417039;62089;143505;34023;Arrojado
178;Feminino;Pós-graduação;65.0;Casado;5;BA;Bahia;Nordeste;Brasil;Pagamentos;Alta;298353;180063;81177;25108;12005;Arrojado
